ID,Пол,Возраст,Родной язык,Язык интерфейс,Владение KZ,Владение RU,Владение EN,Регион/ Область,Населённый пункт,Миграционный статус,ПМЖ,Локация внутренней миграции,Прописка,Гражданство/проживание,Этап жизни,Триггер/привычка
372,Ж,27,kk,ru,высокий,высокий,базовый,юг,город,постоянное место жительства,Туркестан,,есть,гражданин,работающий,Конфликт между традиционными ценностями семьи и современными взглядами на карьеру и брак вызывает постоянный внутренний диссонанс.
373,М,45,ru,ru,базовый,высокий,базовый,север,райцентр,постоянное место жительства,райцентр,,есть,гражданин,работающий,"Стабильная, но скучная жизнь в маленьком городе и отсутствие перспектив привели к алкоголизму как способу бегства от реальности."
374,Ж,39,kk,kk,высокий,базовый,базовый,запад,аул,постоянное место жительства,аул,,есть,гражданин,работающий,"Жизнь в ауле, пока муж на вахте, научила ее быть сильной и независимой, но и привела к эмоциональной отстраненности в отношениях."
375,М,22,оба,ru,высокий,высокий,высокий,центр,город,постоянное место жительства,Астана,,есть,гражданин,студент,Обучение в престижном вузе и окружение 'золотой молодежи' сформировали у него завышенные ожидания от жизни и нетерпимость к любым трудностям.
376,Ж,43,kk,kk,высокий,средний,базовый,восток,аул,постоянное место жительства,село Маркаколь,,есть,гражданин,работающий,"Ранняя потеря матери и забота о младших сестрах сформировали жертвенную позицию и неумение говорить 'нет', что приводит к эксплуатации на работе и в семье."
377,М,24,kk,ru,высокий,высокий,средний,юг,город,внутренний мигрант,Алматы,Талдыкорган -> Алматы,нет,гражданин,студент,"Давление со стороны отца, который ожидал от него продолжения семейного бизнеса, привело к выбору 'престижной' специальности вопреки собственным желаниям и апатии к учебе."
378,М,51,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Павлодар,,есть,гражданин,работающий,Жизнь по строгому заводскому расписанию на протяжении 30 лет привела к страху перед любыми переменами и неспособности принимать самостоятельные решения вне работы.
379,Ж,35,ru,ru,средний,высокий,базовый,запад,город,постоянное место жительства,Уральск,,есть,гражданин,декрет,Одиночество и постоянная тревога за мужа-вахтовика привели к развитию компульсивного переедания как способа справиться со стрессом.
380,М,28,оба,ru,высокий,высокий,высокий,центр,город,внутренний мигрант,Астана,Кокшетау -> Астана,есть,гражданин,работающий,"Синдром 'провинциала', стремящегося доказать столице свою состоятельность, привел к трудоголизму и готовности жертвовать личной жизнью ради карьеры."
381,Ж,40,ru,ru,средний,высокий,средний,центр,город,внешний мигрант,Астана,Узбекистан -> Астана,есть,ПМЖ,работающий,Опыт врачебной ошибки в прошлом (в другой стране) и страх повторения на новом месте привели к излишней осторожности и нерешительности в сложных клинических случаях.
382,М,39,kk,kk,высокий,средний,базовый,юг,город,постоянное место жительства,Шымкент,,есть,гражданин,работающий,"Банкротство в 90-е, которое пережила его семья, сформировало у него панический страх долгов и кредитов, что тормозит развитие его собственного бизнеса."
383,Ж,45,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Петропавловск,,есть,гражданин,работающий,"Тяжелый развод и предательство мужа привели к тотальному недоверию к мужчинам и установке 'я все сама', что мешает ей построить новые отношения."
384,М,23,ru,ru,средний,высокий,базовый,запад,город,постоянное место жительства,Актау,,есть,гражданин,работающий,"Стремление к 'легким деньгам' и образу жизни 'успешного парня' из соцсетей привело его к работе в опасных условиях, игнорируя риски для здоровья."
385,Ж,31,оба,ru,высокий,высокий,средний,восток,город,постоянное место жительства,Усть-Каменогорск,,есть,гражданин,работающий,"Детство в промышленном городе с плохой экологией и частые болезни привели к тому, что она выбрала профессию эколога как способ 'искупить вину' перед природой."
386,М,34,ru,ru,средний,высокий,высокий,центр,город,номад (не резидент РК),Алматы,"Алматы, Астана, Караганда",нет,временно,работающий,"Страх рутины и обязательств, привитый в семье, где родители постоянно меняли работу и место жительства, сделал фриланс и 'жизнь в дороге' единственно приемлемым вариантом."
387,Ж,20,kk,kk,высокий,средний,базовый,юг,аул,постоянное место жительства,аул,,есть,гражданин,студент,"Будучи младшей дочерью в консервативной семье, она научилась скрывать свои истинные мысли и желания под маской послушания, мечтая о побеге."
388,М,63,ru,ru,базовый,высокий,базовый,север,город,постоянное место жительства,Костанай,,есть,гражданин,пенсионер,"Военное прошлое и привычка к строгой иерархии привели к нетерпимости к чужому мнению и постоянным конфликтам с повзрослевшими детьми, которые 'живут неправильно'."
389,Ж,26,оба,ru,высокий,высокий,средний,центр,город,постоянное место жительства,Астана,,есть,гражданин,работающий,"Разочарование в госслужбе, где инициатива наказуема, а карьера зависит от связей, привело к цинизму и пассивному 'отсиживанию' рабочего времени."
390,М,47,ru,ru,средний,высокий,базовый,восток,город,постоянное место жительства,Семей,,есть,гражданин,работающий,"Наследственные проблемы со здоровьем, связанные с последствиями ядерного полигона, сформировали у него фатализм и привычку жить 'одним днем'."
391,Ж,28,kk,ru,высокий,высокий,средний,юг,город,внутренний мигрант,Алматы,Кызылорда -> Алматы,нет,гражданин,работающий,"Конфликт между традиционным воспитанием и ценностями большого города привел к 'синдрому самозванца' и постоянному ощущению, что она недостаточно хороша."
392,М,49,ru,ru,базовый,высокий,базовый,запад,город,постоянное место жительства,Жанаозен,,есть,гражданин,работающий,Жизнь 'от вахты до вахты' и длительная разлука с семьей привели к эмоциональному отчуждению и неумению строить близкие отношения.
393,Ж,22,ru,ru,средний,высокий,средний,север,город,внутренний мигрант,Астана,Щучинск -> Астана,есть,гражданин,студент,"Воспитание в полной и любящей семье сформировало у нее идеалистическое представление о мире, что приводит к разочарованиям при столкновении с реальностью."
394,М,37,ru,ru,базовый,высокий,базовый,восток,город,постоянное место жительства,Риддер,,есть,гражданин,работающий,"Потеря здоровья и престижной работы в шахте из-за профзаболевания привела к кризису мужественности и депрессии, которую он скрывает за агрессией."
395,Ж,30,оба,ru,высокий,высокий,высокий,центр,город,постоянное место жительства,Астана,,есть,гражданин,декрет,"Ранний и неудачный брак, заключенный 'потому что пора', сформировал у нее циничное отношение к отношениям и стремление к полной финансовой независимости."
